AFS,Gender,MS,Origin,POB,LocLang,IntLang,BornWar,Religion,SecondarySchool,NationalExamGrade,Degree,Specialisation,GradeIT,UniversityType,InstitutionNature,InstitutionLocation,SchoolWar,Fees,Funding,UniversityReliable,UnivPromoteEmploy,Internship,ExperienceYears,SpecialisationCompetence,ITCompetence,GraduateComSkill,PhysicalDisability,PsychoDisability,SleepingTime,Family,Father,Mother,PoliticianFam,AdminstrativeFam,CompanyFam,Relatives,MaritalRequirement,HomePandemic,HomeEpidemic,SchoolPandemic,SchoolEpidemic,Employed
between 23 and 25 years,Male,Single,Muswahili,Town,Three,Two,Yes,Catholic,Social Technique,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Private,University,Town,Yes,Less than $500,Parents' finances,Yes,Yes,Yes,6.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Poor,No,Yes,No,No,No,No,Nothing,Yes,Yes,No,Yes,No
between 23 and 25 years,Male,Single,Mukongo,Capital City(Kinshasa),One,Two,No,Protestant,Biochemistry,Satisfaction (50%-69%),Bachelor,Information Systems Management,Satisfaction (50%-69%),Public,University,Town,No,Less than $500,Family Finances,Yes,No,No,5.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,No,No,Married,Yes,Yes,Yes,Yes,No
between 27 and 29 years,Male,Single,Mukongo,Town,Three,Two,Yes,Catholic,Commerce,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,Yes,Between $500 and $1000,Parents' finances,Yes,Yes,Yes,1.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 23 and 25 years,Female,Single,Other,Town,Four,One,No,Evangelical,Biochemistry,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Family Finances,Yes,No,,11.0,Average,Average,Medium,No,No,Before 10 pm,Medium,No,No,No,Yes,Yes,Yes,Nothing,No,No,No,No,Yes
between 21 and 23 years,Male,Married,Muswahili,Town,Three,One,Yes,Catholic,General Pedagogy,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,Yes,Less than $500,Parents' finances,Yes,Yes,Yes,1.0,Average,Average,Medium,Yes,No,Between 10 pm and midnight,Medium,Yes,No,No,No,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 23 and 25 years,Male,Single,Muswahili,Village,Two,One,Yes,Catholic,Industrial Technique,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Private,University,Town,Yes,Less than $500,Parents' finances,Yes,Yes,Yes,1.0,Average,Average,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,No,No,No,Nothing,Yes,Yes,Yes,Yes,Yes
between 21 and 23 years,Male,Single,Muswahili,Town,Three,Two,Yes,Catholic,Industrial Technique,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Private,College,Town,Yes,Between $500 and $1000,Family Finances,No,Yes,Yes,1.0,Mastery,Average,Medium,No,No,Before 10 pm,Medium,Yes,Yes,No,Yes,Yes,No,Nothing,No,No,No,No,No
between 25 and 27 years,Male,Single,Mukongo,Capital City(Kinshasa),Two,One,Yes,Catholic,Biochemistry,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Private,College,Capital City(Kinshasa),Yes,Between $500 and $1000,Own funds,No,No,No,5.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,No,Yes,No,Nothing,No,No,No,No,No
between 23 and 25 years,Male,Single,Muswahili,Town,Two,Two,Yes,Catholic,IT Technique,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Private,College,Town,No,Between $500 and $1000,Parents' finances,Yes,Yes,No,3.0,Average,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,No,No,No,No,Yes,No,Nothing,Yes,Yes,Yes,Yes,No
between 21 and 23 years,Male,Single,Mukongo,Capital City(Kinshasa),Two,One,No,Protestant,Commerce,Satisfaction (50%-69%),Master,Software engineering,Distinction (70%-79%),Private,College,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,No,No,Yes,5.0,Mastery,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,Yes,Nothing,Yes,No,Yes,Yes,Yes
between 23 and 25 years,Male,Single,Muswahili,Capital City(Kinshasa),Two,Two,No,Evangelical,Industrial Technique,Satisfaction (50%-69%),Master,Software engineering,Satisfaction (50%-69%),Private,College,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,No,Yes,No,5.0,Mastery,Mastery,High,No,No,After midnight,Medium,No,No,No,No,No,No,Nothing,Yes,No,Yes,No,Yes
between 27 and 29 years,Female,Single,Muswahili,Town,Two,Two,Yes,Catholic,General Pedagogy,,Master,Networking,Distinction (70%-79%),Private,University,Town,Yes,Between $500 and $1000,Parents' finances,Yes,No,No,5.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,Yes,Yes,Yes,No,Nothing,Yes,Yes,Yes,Yes,Yes
between 27 and 29 years,Male,Single,Muswahili,Town,More,Three,Yes,Catholic,Commerce,Satisfaction (50%-69%),Bachelor,Networking,Satisfaction (50%-69%),Private,College,Town,Yes,Less than $500,Own funds,Yes,Yes,Yes,3.0,Mastery,Mastery,Medium,No,No,After midnight,Medium,No,No,No,No,Yes,No,Nothing,No,No,No,Yes,No
between 23 and 25 years,Male,Single,Other,Rural municipality,More,Two,No,Catholic,Commerce,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Catholic,University,Town,Yes,Between $500 and $1000,Parents' finances,No,Yes,Yes,5.0,Average,Average,Medium,No,No,Before 10 pm,Poor,No,No,No,No,No,No,Nothing,Yes,Yes,Yes,Yes,No
between 25 and 27 years,Male,Single,Muswahili,Town,Two,Two,Yes,Protestant,General Pedagogy,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Private,College,Town,Yes,Between $500 and $1000,Family Finances,Yes,Yes,No,3.0,Mastery,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,No,No,Yes,No,Single,Yes,Yes,No,No,No
between 23 and 25 years,Female,Single,Muswahili,Village,Four,Two,No,Protestant,General Pedagogy,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,No,Less than $500,Parents' finances,Yes,Yes,No,3.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,No,Yes,Yes,Nothing,No,Yes,No,Yes,No
between 25 and 27 years,Male,Single,Mungala,Rural municipality,Three,Two,Yes,Evangelical,General Pedagogy,Satisfaction (50%-69%),Master,Information Systems Management,Distinction (70%-79%),Private,University,Capital City(Kinshasa),No,Between $500 and $1000,Family Finances,No,Yes,Yes,3.0,Average,Average,Medium,No,No,Before 10 pm,Medium,Yes,Yes,Yes,Yes,Yes,No,Nothing,Yes,No,Yes,No,Yes
between 25 and 27 years,Male,Single,Mukongo,Capital City(Kinshasa),Two,Two,No,Evangelical,Math-Physics,Satisfaction (50%-69%),Master,Information Systems Management,Distinction (70%-79%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,No,No,1.0,Mastery,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,No,No,Nothing,No,No,Yes,Yes,Yes
beyond,Male,Single,Mukongo,Rural municipality,Three,Two,No,Catholic,Math-Physics,Satisfaction (50%-69%),Bachelor,Networking,Distinction (70%-79%),Private,College,Capital City(Kinshasa),No,Less than $500,Own funds,Yes,Yes,Yes,11.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Poor,No,No,No,Yes,Yes,No,Nothing,No,No,Yes,No,No
between 27 and 29 years,Male,Married,Mungala,Rural municipality,Two,One,No,Protestant,Latin-Philosophy,Satisfaction (50%-69%),Master,Software engineering,Satisfaction (50%-69%),Private,College,Capital City(Kinshasa),No,Less than $500,Family Finances,Yes,No,Yes,3.0,Average,Mastery,Medium,No,No,Before 10 pm,Medium,No,No,Yes,Yes,Yes,Yes,Nothing,No,No,No,Yes,Yes
between 23 and 25 years,Female,Single,Muluba,Capital City(Kinshasa),Two,One,No,Evangelical,Biochemistry,Satisfaction (50%-69%),Master,Data Science,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,Yes,1.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Nothing,Yes,No,Yes,No,No
between 25 and 27 years,Female,Married,Muswahili,Village,Two,Two,Yes,Catholic,Biochemistry,Satisfaction (50%-69%),Master,Information Systems Management,Distinction (70%-79%),Public,College,Town,Yes,Less than $500,Family Finances,No,No,Yes,5.0,Mastery,Average,High,No,No,After midnight,Medium,Yes,No,No,Yes,Yes,No,Single,No,No,Yes,Yes,No
between 21 and 23 years,Male,Single,Mukongo,Capital City(Kinshasa),Two,One,No,Kimbanguist,General Pedagogy,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Family Finances,No,No,Yes,2.0,Average,Average,Medium,No,No,After midnight,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Nothing,No,Yes,No,No,Yes
between 23 and 25 years,Male,Single,Muswahili,Capital City(Kinshasa),Four,Two,Yes,Protestant,Math-Physics,Satisfaction (50%-69%),Master,Networking and Telecommunication,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,No,No,5.0,Average,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,No,Yes,Yes,Yes,No,Nothing,No,No,No,No,Yes
between 21 and 23 years,Male,Single,Muswahili,Town,One,Two,Yes,Protestant,Commerce,Satisfaction (50%-69%),Bachelor,Computer Engineering,Satisfaction (50%-69%),Public,University,Town,No,Less than $500,Parents' finances,Yes,No,No,3.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Nothing,Yes,Yes,No,Yes,No
between 25 and 27 years,Male,Single,Muluba,Town,One,One,No,Evangelical,Math-Physics,Satisfaction (50%-69%),Master,Computer Engineering,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,No,No,5.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,No,Nothing,No,No,No,No,No
between 25 and 27 years,Male,Single,Muswahili,Town,Two,Three,Yes,Protestant,Latin-Philosophy,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Catholic,University,Town,Yes,Between $500 and $1000,Parents' finances,Yes,No,No,5.0,Average,Mastery,High,No,No,After midnight,Poor,No,No,No,No,No,Yes,Nothing,Yes,Yes,Yes,Yes,No
between 25 and 27 years,Male,Single,Muswahili,Town,Two,Three,Yes,Protestant,Latin-Philosophy,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Catholic,University,Town,Yes,Between $500 and $1000,Parents' finances,Yes,No,No,5.0,Average,Mastery,High,No,No,After midnight,Poor,No,No,No,No,No,Yes,Nothing,Yes,Yes,Yes,Yes,No
between 27 and 29 years,Male,Single,Muswahili,Town,More,Two,Yes,Protestant,Biochemistry,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Catholic,College,Town,Yes,Between $500 and $1000,Parents' finances,Yes,No,No,1.0,Mastery,Mastery,Medium,No,No,Before 10 pm,Medium,Yes,No,No,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,No
between 27 and 29 years,Male,Single,Muswahili,Town,More,Two,Yes,Protestant,Biochemistry,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Catholic,College,Town,Yes,Between $500 and $1000,Parents' finances,Yes,No,No,1.0,Average,Average,High,No,No,Before 10 pm,Medium,Yes,No,Yes,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,No
between 27 and 29 years,Male,Single,Mungala,Capital City(Kinshasa),Four,Three,No,Catholic,Latin-Philosophy,Satisfaction (50%-69%),Bachelor,Mathematics and Computing,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,Yes,4.0,Average,Average,High,No,No,After midnight,Medium,No,No,No,Yes,No,Yes,Nothing,Yes,No,No,No,No
between 23 and 25 years,Male,Married,Muswahili,Town,Two,Two,Yes,Protestant,Math-Physics,Satisfaction (50%-69%),Master,Networking and Telecommunication,Satisfaction (50%-69%),Public,College,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,No,No,Yes,1.0,Mastery,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,No,Nothing,No,Yes,Yes,No,Yes
between 25 and 27 years,Male,Single,Muluba,Capital City(Kinshasa),Two,One,No,Catholic,Biochemistry,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Family Finances,Yes,No,No,4.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Poor,No,No,No,Yes,No,No,Nothing,Yes,No,No,No,No
beyond,Male,Single,Muswahili,Village,More,Three,Yes,Protestant,Industrial Technique,Satisfaction (50%-69%),Master,,,Public,College,,No,More than $1000,Own funds,Yes,Yes,Yes,5.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Nothing,Yes,No,Yes,No,Yes
beyond,Male,Single,Muswahili,Village,More,Three,Yes,Protestant,Industrial Technique,Satisfaction (50%-69%),Master,,,Public,College,,No,More than $1000,Own funds,Yes,Yes,Yes,5.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Nothing,Yes,No,Yes,No,Yes
between 21 and 23 years,Male,Single,Mungala,Capital City(Kinshasa),One,Two,No,Catholic,Math-Physics,Satisfaction (50%-69%),Bachelor,Networking,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,Yes,4.0,Average,Average,High,No,No,Between 10 pm and midnight,Medium,No,No,No,Yes,Yes,No,Nothing,No,No,Yes,No,No
between 23 and 25 years,Male,Married,Mukongo,Capital City(Kinshasa),Two,Two,No,Catholic,Biochemistry,Satisfaction (50%-69%),Master,Networking and Telecommunication,Satisfaction (50%-69%),Private,College,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,Yes,Yes,3.0,Mastery,Mastery,Medium,No,No,Before 10 pm,Medium,Yes,No,No,No,Yes,No,Single,Yes,No,Yes,No,Yes
between 29 and 31 years,Male,Married,Muswahili,,Four,One,No,Other,Industrial Technique,Satisfaction (50%-69%),Master,Networking and Telecommunication,Satisfaction (50%-69%),Public,College,Town,No,Between $500 and $1000,Family Finances,No,No,No,2.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 27 and 29 years,Male,Married,Muswahili,Town,Three,One,Yes,Protestant,General Pedagogy,Satisfaction (50%-69%),Master,Software engineering,Satisfaction (50%-69%),Protestant,University,Village,No,Between $500 and $1000,Parents' finances,No,No,Yes,3.0,Mastery,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,No,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 25 and 27 years,Male,Single,Muswahili,Town,Three,Two,Yes,Catholic,Commerce,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,Yes,Less than $500,Parents' finances,Yes,Yes,No,3.0,Mastery,Average,Medium,No,No,Between 10 pm and midnight,Poor,Yes,Yes,No,No,No,Yes,Nothing,Yes,No,Yes,Yes,No
between 21 and 23 years,Female,Single,Muswahili,Town,Three,Two,Yes,Catholic,General Pedagogy,Distinction (70%-79%),Master,Information Systems Management,Great Distinction (80%-89%),Catholic,University,Town,Yes,Less than $500,Family Finances,Yes,No,No,4.0,Mastery,Average,High,No,No,Between 10 pm and midnight,Medium,Yes,No,No,Yes,Yes,Yes,Nothing,Yes,No,No,No,No
between 27 and 29 years,Male,Single,Other,Village,Four,Two,Yes,Catholic,Commerce,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,Yes,Less than $500,Family Finances,Yes,Yes,Yes,11.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Poor,No,No,No,No,Yes,No,Nothing,Yes,Yes,Yes,Yes,No
between 21 and 23 years,Female,Single,Other,Capital City(Kinshasa),Three,One,No,Catholic,Math-Physics,Satisfaction (50%-69%),Master,Mathematics and Computing,Distinction (70%-79%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,No,11.0,Average,Average,Medium,No,No,After midnight,Rich,Yes,Yes,Yes,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,No
between 23 and 25 years,Male,Single,Mukongo,Capital City(Kinshasa),Three,Two,No,Other,Biochemistry,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,Yes,4.0,Average,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,No,Nothing,Yes,No,Yes,No,Yes
between 23 and 25 years,Female,Single,Muswahili,Capital City(Kinshasa),Three,Two,No,Catholic,Commerce,Satisfaction (50%-69%),Bachelor,IT security,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,No,No,5.0,Below average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,No,Yes,Nothing,Yes,No,Yes,No,No
between 23 and 25 years,Male,Single,Muswahili,Capital City(Kinshasa),One,Two,No,Protestant,Biochemistry,Satisfaction (50%-69%),Master,Computer Engineering,Distinction (70%-79%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,No,4.0,Mastery,Mastery,High,No,No,After midnight,Medium,Yes,No,No,Yes,Yes,No,Nothing,No,No,Yes,No,No
beyond,Male,Married,Muswahili,Village,Two,Two,No,Protestant,Math-Physics,Satisfaction (50%-69%),,Mathematics and Computing,Distinction (70%-79%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,No,5.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Poor,No,No,No,Yes,Yes,No,Nothing,No,No,No,No,Yes
between 27 and 29 years,Female,Single,Mukongo,Capital City(Kinshasa),Two,One,No,Evangelical,General Pedagogy,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Family Finances,Yes,No,No,3.0,Average,Average,Medium,No,No,Before 10 pm,Medium,No,No,No,Yes,Yes,Yes,Nothing,No,Yes,No,No,Yes
between 23 and 25 years,Female,Single,Muswahili,Village,Three,One,Yes,Catholic,Commerce,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,Yes,Between $500 and $1000,Parents' finances,Yes,Yes,Yes,2.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,Yes,Yes,Yes,No,Nothing,Yes,Yes,No,Yes,Yes
between 25 and 27 years,Male,Single,Muswahili,Town,Two,Two,Yes,Catholic,Commerce,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,Yes,Less than $500,Family Finances,Yes,Yes,No,1.0,Below average,Below average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,Yes,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 23 and 25 years,Female,Single,Muswahili,Village,Three,Three,Yes,Catholic,Commerce,Satisfaction (50%-69%),Master,Networking,Distinction (70%-79%),Catholic,University,Town,Yes,Between $500 and $1000,Parents' finances,Yes,No,No,2.0,Average,Average,Medium,No,No,After midnight,Medium,Yes,Yes,No,No,No,No,Nothing,Yes,Yes,No,Yes,No
between 25 and 27 years,Female,Single,Muswahili,Capital City(Kinshasa),Two,One,No,Evangelical,Biochemistry,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,Yes,No,1.0,Average,Average,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,Yes,No,Nothing,Yes,No,No,No,Yes
between 25 and 27 years,Female,Single,Muswahili,Town,Four,Two,Yes,Catholic,Social Technique,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Catholic,College,Town,Yes,Between $500 and $1000,Parents' finances,No,Yes,Yes,1.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 23 and 25 years,Male,Single,Muswahili,Town,Two,One,Yes,Protestant,,Satisfaction (50%-69%),Master,Information Systems Management,Distinction (70%-79%),Catholic,University,Town,Yes,Between $500 and $1000,Parents' finances,Yes,Yes,No,11.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 29 and 31 years,Male,Single,Mukongo,Town,More,Three,No,Catholic,Biochemistry,Satisfaction (50%-69%),Master,Mathematics and Computing,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,Yes,No,Yes,5.0,Mastery,Mastery,High,No,No,Before 10 pm,Medium,Yes,No,Yes,Yes,Yes,Yes,Single,No,No,Yes,Yes,Yes
between 27 and 29 years,Male,Single,Other,Village,Two,One,No,Protestant,Math-Physics,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Public,College,Town,Yes,Less than $500,Family Finances,Yes,Yes,Yes,11.0,Average,Average,High,No,No,Between 10 pm and midnight,Medium,Yes,No,No,No,Yes,Yes,Nothing,No,No,Yes,Yes,No
between 25 and 27 years,Female,Single,Muswahili,Capital City(Kinshasa),Three,One,No,Catholic,General Pedagogy,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Public,College,Town,Yes,Between $500 and $1000,Parents' finances,Yes,No,Yes,5.0,Average,Average,Medium,No,Yes,Between 10 pm and midnight,Medium,No,No,Yes,Yes,Yes,Yes,Married,Yes,Yes,Yes,Yes,No
between 25 and 27 years,Female,Single,Muswahili,Capital City(Kinshasa),Three,One,No,Catholic,General Pedagogy,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Public,College,Town,Yes,Between $500 and $1000,Parents' finances,Yes,No,Yes,5.0,Average,Average,Medium,No,Yes,Between 10 pm and midnight,Medium,No,No,Yes,Yes,Yes,Yes,Married,Yes,Yes,Yes,Yes,No
between 21 and 23 years,Female,Married,Muswahili,Town,Three,Two,Yes,Protestant,Commerce,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Private,College,Town,Yes,Less than $500,Parents' finances,Yes,Yes,Yes,1.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,No,Yes,No,Nothing,No,Yes,Yes,Yes,No
between 21 and 23 years,Male,Single,Muswahili,Town,One,Two,No,Catholic,Latin-Philosophy,Satisfaction (50%-69%),Master,Business and IT,Distinction (70%-79%),Private,College,Town,Yes,Between $500 and $1000,Parents' finances,Yes,Yes,Yes,2.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 25 and 27 years,Male,Single,Other,Capital City(Kinshasa),One,Two,No,Protestant,Industrial Technique,Satisfaction (50%-69%),Master,Business and IT,Distinction (70%-79%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,Yes,No,11.0,Average,Average,Medium,No,No,After midnight,Medium,Yes,Yes,Yes,Yes,Yes,No,Nothing,No,No,Yes,No,Yes
between 25 and 27 years,Male,Single,Other,Capital City(Kinshasa),One,Two,No,Protestant,Industrial Technique,Satisfaction (50%-69%),Master,Business and IT,Distinction (70%-79%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,Yes,No,11.0,Average,Average,Medium,No,No,After midnight,Medium,Yes,Yes,Yes,Yes,Yes,No,Nothing,No,No,Yes,No,Yes
between 21 and 23 years,Male,Single,Muswahili,Capital City(Kinshasa),Two,Two,No,Evangelical,Math-Physics,Satisfaction (50%-69%),Master,Mathematics and Computing,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,No,No,5.0,Average,Average,Medium,No,No,After midnight,Medium,,Yes,Yes,Yes,Yes,Yes,Nothing,Yes,No,Yes,No,Yes
between 23 and 25 years,Female,Single,Mukongo,Capital City(Kinshasa),Two,Two,No,Catholic,General Pedagogy,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,No,4.0,Average,Average,High,No,No,Between 10 pm and midnight,Medium,No,No,Yes,Yes,Yes,No,Nothing,Yes,No,Yes,,No
between 23 and 25 years,Female,Single,Mukongo,Village,Two,One,Yes,Catholic,General Pedagogy,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,Yes,Less than $500,Parents' finances,No,No,Yes,1.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,Yes,Single,Yes,Yes,No,Yes,Yes
between 21 and 23 years,Male,Single,Muswahili,Town,Four,Two,Yes,Protestant,Industrial Technique,Satisfaction (50%-69%),Master,Mathematics and Computing,Distinction (70%-79%),Catholic,University,,No,More than $1000,Parents' finances,Yes,Yes,Yes,5.0,Average,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,Yes,No,Yes,Yes,Nothing,No,No,Yes,No,Yes
between 23 and 25 years,Male,Single,Muswahili,Town,Two,Two,Yes,Catholic,Latin-Philosophy,Satisfaction (50%-69%),Master,Networking,Distinction (70%-79%),Catholic,University,Town,Yes,Between $500 and $1000,Family Finances,Yes,Yes,Yes,5.0,Mastery,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,Yes,Married,Yes,Yes,No,Yes,No
,Male,Single,Mukongo,Town,More,Three,No,Catholic,Biochemistry,Satisfaction (50%-69%),Master,Mathematics and Computing,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,Yes,No,Yes,5.0,Mastery,Mastery,High,No,No,Before 10 pm,Medium,Yes,No,Yes,Yes,Yes,Yes,Single,No,Yes,No,Yes,Yes
between 25 and 27 years,Male,Single,Mukongo,Capital City(Kinshasa),Two,One,No,Kimbanguist,Commerce,Satisfaction (50%-69%),Master,Mathematics and Computing,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,Yes,No,2.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,Yes,Yes,No,Nothing,Yes,Yes,Yes,Yes,Yes
between 25 and 27 years,Female,Single,Muluba,Town,More,Two,No,Catholic,Math-Physics,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Private,University,Town,Yes,Between $500 and $1000,Parents' finances,Yes,Yes,No,3.0,Average,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,No
